# id | id no Deezer | duração (s) | BPM do Deezer (0 = sem) | título achado. Gerado por tools/data/fetch-extra.mjs.
3-doors-down--kryptonite|2511224|234|98.9|Kryptonite
3-doors-down--when-im-gone|62294829|260|0|When I'm Gone
311--beautiful-disaster|13176042|240|168.1|Beautiful Disaster
38-special--hold-on-loosely|2525880|279|127.6|Hold On Loosely
a-flock-of-seagulls--i-ran-so-far-away|3867266271|304|145.6|I Ran (So Far Away)
a-perfect-circle--judith|3135442|245|0|Judith
a-perfect-circle--the-outsider|3092700|246|0|The Outsider
accept--balls-to-the-wall|3994552781|344|0|Balls to the Wall (feat. Rob Halford, Matthias Jabs, Rex Brown, Jason Bowld)
aerosmith--back-in-the-saddle|2061078527|279|0|Back In the Saddle
aerosmith--beyond-beautiful|2058921017|285|0|Beyond Beautiful
aerosmith--bright-light-fright|13620572|139|148.2|Bright Light Fright
aerosmith--combination|2058920207|219|0|Combination
aerosmith--cryin|2246520677|308|0|Cryin'
aerosmith--draw-the-line|13620590|203|143.6|Draw The Line
aerosmith--dream-on|2431707315|265|0|Dream On
aerosmith--kings-and-queens|13620579|295|124.5|Kings And Queens
aerosmith--last-child|2061078537|207|0|Last Child
aerosmith--let-the-music-do-the-talking|2262178|224|170.8|Let The Music Do The Talking
aerosmith--livin-on-the-edge|1105731|377|168.8|Livin' On The Edge
aerosmith--love-in-an-elevator|11288905|322|93.5|Love In An Elevator (Single Version)
aerosmith--make-it|3903961311|218|0|Make It
aerosmith--mama-kin|2061078507|263|0|Mama Kin
aerosmith--movin-out|3903961371|302|0|Movin' Out
aerosmith--no-surprize|13620593|265|138.7|No Surprize
aerosmith--nobodys-fault|2058920227|265|0|Nobody's Fault
aerosmith--pandoras-box|2058920167|344|0|Pandora's Box
aerosmith--pink|2070235747|235|0|Pink
aerosmith--rag-doll|2125095|264|93.5|Rag Doll
aerosmith--rats-in-the-cellar|2058920197|246|0|Rats In The Cellar
aerosmith--same-old-song-and-dance|2061077627|233|0|Same Old Song and Dance
aerosmith--sweet-emotion|2061076857|274|0|Sweet Emotion
aerosmith--toys-in-the-attic|2061076807|185|0|Toys In The Attic
