# id | duração no LRCLIB (s) | letra (1 tem, 0 não achou, i instrumental). Gerado por tools/data/fetch-lrclib.mjs.
3-doors-down--kryptonite|234|1
3-doors-down--when-im-gone|260|1
311--beautiful-disaster|242|1
38-special--hold-on-loosely|281|1
a-flock-of-seagulls--i-ran-so-far-away|305|1
a-perfect-circle--judith|247|1
a-perfect-circle--the-outsider|246|1
accept--balls-to-the-wall|343|1
aerosmith--back-in-the-saddle|280|1
aerosmith--beyond-beautiful|288|1
aerosmith--bright-light-fright|140|1
aerosmith--combination|223|1
aerosmith--cryin|310|1
aerosmith--draw-the-line|204|1
aerosmith--dream-on|268|1
aerosmith--kings-and-queens|230|1
aerosmith--last-child|207|1
aerosmith--let-the-music-do-the-talking|226|1
aerosmith--livin-on-the-edge|367|1
aerosmith--love-in-an-elevator|322|1
aerosmith--make-it|221|1
aerosmith--mama-kin|268|1
aerosmith--movin-out|302|1
aerosmith--no-surprize|268|1
aerosmith--nobodys-fault|264|1
aerosmith--pandoras-box|345|1
aerosmith--pink|235|1
aerosmith--rag-doll|266|1
aerosmith--rats-in-the-cellar|245|1
aerosmith--same-old-song-and-dance|234|1
aerosmith--sweet-emotion|274|1
aerosmith--toys-in-the-attic|187|1
aerosmith--train-kept-a-rollin|334|1
aerosmith--uncle-salty|250|1
aerosmith--walk-this-way|309|1
aerosmith-featuring-run-dmc--walk-this-way|309|1
afi--dancing-through-sunday|149|1
afi--medicate|262|1
afi--miss-murder|303|1
airbourne--too-much-too-young-too-fast|223|1
alice-cooper--billion-dollar-babies|223|1
alice-cooper--no-more-mr-nice-guy|188|1
alice-cooper--schools-out|210|1
alice-in-chains--no-excuses|256|1
alice-in-chains--them-bones|151|1
all-that-remains--six|203|1
alphabeat--fascination|182|1
alter-bridge--come-to-life|232|1
alter-bridge--ties-that-bind|199|1
aly-and-aj--like-whoa|149|1
an-endless-sporadic--impulse|265|i
anarchy-club--behind-the-mask|166|1
anarchy-club--collide|201|1
anberlin--the-feel-good-drag|207|1
angels-and-airwaves--the-adventure|341|1
anouk--good-god|156|1
anthrax--caught-in-a-mosh|301|1
anthrax--indians|341|1
anthrax--madhouse|259|1
arch-enemy--nemesis|267|1
arctic-monkeys--brianstorm|173|1
arctic-monkeys--r-u-mine|202|1
artillery--the-breaking-wheel||0
asia--heat-of-the-moment|229|1
at-the-drive-in--one-armed-scissor|260|1
atreyu--ravenous|188|1
attack-attack--you-and-me|210|1
audioslave--cochise|222|1
avenged-sevenfold--bat-country|312|1
avenged-sevenfold--beast-and-the-harlot|344|1
avril-lavigne--heres-to-never-growing-up|214|1
backyard-babies--minus-celsius|216|1
bad-brains--re-ignition|253|1
bad-religion--infected|247|1
band-of-horses--cigarettes-wedding-bands|276|1
band-of-skulls--i-know-what-i-am|198|1
bang-camaro--push-push-lady-lightning|282|1
beastie-boys--gratitude|165|1
beastie-boys--sabotage|178|1
beastie-boys-featuring-kerry-king--no-sleep-till-brooklyn|246|1
beatsteaks--hail-to-the-freaks|193|1
beck--gamma-ray|174|1
ben-harper-and-the-innocent-criminals--steal-my-kisses|245|1
biffy-clyro--victory-over-the-sun|239|1
big-country--in-a-big-country|236|1
billy-idol--dancing-with-myself|199|1
billy-idol--rebel-yell|289|1
billy-idol--white-wedding-part-1|253|1
billy-squier--lonely-is-the-night|282|1
black-label-society--fire-it-up|300|1
black-label-society--stillborn|196|1
black-rebel-motorcycle-club--weapon-of-choice|169|1
black-sabbath--children-of-the-grave|313|1
black-sabbath--iron-man|355|1
black-sabbath--paranoid|170|1
black-sabbath--war-pigs|472|1
blind-melon--tones-of-home|268|1
blink-182--dammit|165|1
blink-182--first-date|172|1
blink-182--the-rock-show|188|1
bloc-party--helicopter|219|1
blondie--one-way-or-another|213|1
blue-oyster-cult--burnin-for-you|271|1
blue-oyster-cult--cities-on-flame-with-rock-and-roll|243|1
blue-oyster-cult--godzilla|222|1
blur--song-2|124|1
bob-dylan--all-along-the-watchtower|154|1
bob-seger-and-the-silver-bullet-band--hollywood-nights|302|1
bob-seger-and-the-silver-bullet-band--turn-the-page|314|1
bon-jovi--livin-on-a-prayer|249|1
bon-jovi--you-give-love-a-bad-name|221|1
boston--more-than-a-feeling|282|1
brand-new--sowing-season-yeah|273|1
bret-michaels-band--go-that-far|173|1
brian-kahanek--gemini||0
bring-me-the-horizon--shadow-moses|246|1
buckethead--jordan|235|i
bullet-for-my-valentine--scream-aim-fire|267|1
burning-brides--heart-full-of-black|196|1
bush--comedown|327|1
bush--machinehead|260|1
buzzcocks--what-do-i-get|174|1
carl-douglas--kung-fu-fighting|196|1
cheap-trick--dream-police|235|1
cheap-trick--i-want-you-to-want-me|224|1
cheap-trick--surrender|252|1
children-of-bodom--done-with-everything-die-for-nothing|211|1
children-of-bodom--if-you-want-peace-prepare-for-war|236|1
cold-war-kids--hang-me-up-to-dry|219|1
coldplay--in-my-place|231|1
coldplay--shiver|304|1
corinne-bailey-rae--put-your-records-on|215|1
corrosion-of-conformity--albatross|320|1
count-zero--radium-eyes|206|1
count-zero--sail-your-ship-by|266|1
counting-crows--angels-of-the-silences|219|1
cream--crossroads|254|1
cream--sunshine-of-your-love|250|1
creedence-clearwater-revival--fortunate-son|141|1
creedence-clearwater-revival--up-around-the-bend|162|1
culture-club--do-you-really-want-to-hurt-me|262|1
danzig--mother|206|1
darker-my-love--blue-day|254|1
darkest-hour--demon-s|229|1
dashboard-confessional--hands-down|187|1
david-bowie--fame|257|1
david-bowie--lets-dance|248|1
david-bowie--ziggy-stardust|194|1
dead-kennedys--holiday-in-cambodia|227|1
dead-kennedys--police-truck|144|1
deap-vally--lies|185|1
deep-purple--burn|363|1
deep-purple--hush|266|1
deep-purple--smoke-on-the-water|230|1
deep-purple--space-truckin|274|1
deep-purple--woman-from-tokyo|349|1
def-leppard--pour-some-sugar-on-me|264|1
dethklok--bloodlines|211|1
dethklok--thunderhorse|166|1
devo--whip-it|161|1
diamond-head--am-i-evil|460|1
dick-dale--misirlou|139|1
die-toten-hosen--hier-kommt-alex|233|1
din--fly-on-the-wall|174|1
dinosaur-jr--feel-the-pain|259|1
dio--holy-diver|350|1
dire-straits--money-for-nothing|246|1
dire-straits--sultans-of-swing|344|1
disturbed--stricken|247|1
don-mclean--american-pie|519|1
dope--nothing-for-me-here|178|1
dragonforce--fury-of-the-storm|407|1
dragonforce--through-the-fire-and-flames|439|1
dream-theater--pull-me-under|492|1
drist--arterial-black|199|1
drist--decontrol|217|1
drowning-pool--bodies|202|1
duffy--warwick-avenue|226|1
duran-duran--hungry-like-the-wolf|205|1
duran-duran--rio|337|1
eagles--hotel-california|390|1
eagles-of-death-metal--wannabe-in-la|136|1
eddie-money--shakin|187|1
elbow--grounds-for-divorce|220|1
elliott-smith--la|195|1
elton-john--saturday-nights-alright-for-fighting|293|1
eminem--berzerk|239|1
eric-johnson--cliffs-of-dover|250|i
evanescence--bring-me-to-life|238|1
everclear--santa-monica|192|1
every-time-i-die--the-new-black|173|1
extreme--play-with-me|211|1
face-to-face--disconnected|206|1
fall-out-boy--dance-dance|182|1
fall-out-boy--my-songs-know-what-you-did-in-the-dark-light-em-up|189|1
fall-out-boy--sugar-were-goin-down|229|1
faster-pussycat--bathroom-wall|224|1
filter--hey-man-nice-shot|313|1
filter--take-a-picture|364|1
finger-eleven--paralyzer|208|1
five-finger-death-punch--hard-to-see|209|1
fleetwood-mac--go-your-own-way|218|1
flyleaf--again|185|1
foghat--slow-ride|238|1
foo-fighters--best-of-you|255|1
foo-fighters--everlong|251|1
foo-fighters--monkey-wrench|231|1
foo-fighters--no-way-back|198|1
foo-fighters--stacked-actors|260|1
foreigner--double-vision|223|1
foreigner--feels-like-the-first-time|247|1
fountains-of-wayne--stacys-mom|200|1
franz-ferdinand--take-me-out|237|1
freezepop--get-ready-2-rokk|179|1
freezepop--less-talk-more-rokk|303|1
gallows--in-the-belly-of-a-shark|162|1
garbage--only-happy-when-it-rains|238|1
george-thorogood-and-the-destroyers--move-it-on-over|259|1
good-charlotte--the-anthem|174|1
gorillaz--feel-good-inc|215|1
govt-mule--streamline-woman|246|1
grand-funk-railroad--were-an-american-band|205|1
graveyard-bbq--cheat-on-the-church|249|1
green-day--nuclear-family|183|1
guns-n-roses--sweet-child-o-mine|356|1
guns-n-roses--welcome-to-the-jungle|274|1
halestorm--love-bites-so-do-i|191|1
heart--barracuda|263|1
heart--crazy-on-you|293|1
hellacopters--im-in-the-band|199|1
helmet--unsung|237|1
heroes-del-silencio--avalancha|354|1
hilary-duff--so-yesterday|213|1
hinder--lips-of-an-angel|261|1
honest-bob-and-the-factory-to-dealer-incentives--hey|174|1
honest-bob-and-the-factory-to-dealer-incentives--soy-bomb||0
hushpuppies--youre-gonna-say-yeah|193|1
iggy-pop--lust-for-life|316|1
iggy-pop-and-the-stooges--search-and-destroy|209|1
imagine-dragons--demons|177|1
in-flames--take-this-life|217|1
incubus--stellar|200|1
interpol--obstacle-1|248|1
interpol--slow-hands|182|1
iron-maiden--2-minutes-to-midnight|367|1
iron-maiden--the-number-of-the-beast|290|1
iron-maiden--the-trooper|252|1
iron-maiden--wrathchild|174|1
jack-white--lazaretto|219|1
janes-addiction--been-caught-stealing|215|1
janes-addiction--mountain-song|244|1
janes-addiction--stop|255|1
janet-jackson--black-cat|288|1
jeff-beck--scatterbrain|336|1
jesse-mccartney--beautiful-soul|201|1
jethro-tull--aqualung|393|1
jimmy-eat-world--bleed-american|181|1
jimmy-eat-world--pain|172|1
jimmy-eat-world--the-middle|166|1
joan-jett--bad-reputation|171|1
joan-jett--i-hate-myself-for-loving-you|247|1
joan-jett-and-the-blackhearts--i-love-rock-n-roll|174|1
joe-perry--mercy||0
joe-perry--shakin-my-cage|253|1
joe-perry--talk-talkin|213|1
joe-satriani--satch-boogie|194|i
john-5-featuring-jim-root--black-widow-of-la-porte|443|i
john-mellencamp--hurts-so-good|221|1
johnny-cash--ring-of-fire|156|1
joss-stone--you-had-me|240|1
judas-priest--electric-eye|219|1
judas-priest--hell-bent-for-leather|158|1
judas-priest--painkiller|366|1
judas-priest--youve-got-another-thing-comin|309|1
kaiser-chiefs--never-miss-a-beat|187|1
kaiser-chiefs--ruby|201|1
kansas--carry-on-wayward-son|324|1
kasabian--club-foot|214|1
katrina-and-the-waves--walking-on-sunshine|239|1
katy-perry--waking-up-in-vegas|198|1
kent--vinternoll2|265|1
killswitch-engage--my-curse|245|1
killswitch-engage--the-end-of-heartache|297|1
king-crimson--21st-century-schizoid-man|443|1
kings-of-leon--sex-on-fire|203|1
kiss--love-gun|200|1
kiss--rock-and-roll-all-nite|169|1
kiss--shout-it-out-loud|170|1
kiss--strutter|192|1
korn--freak-on-a-leash|255|1
krokus--ballroom-blitz|241|1
kt-tunstall--black-horse-and-the-cherry-tree|174|1
kyuss--demon-cleaner|311|1
la-slum-lords--down-n-dirty||0
lacuna-coil--closer|182|1
lacuna-coil--our-truth|245|1
lamb-of-god--laid-to-rest|234|1
lenny-kravitz--are-you-gonna-go-my-way|212|1
lenny-kravitz--rock-and-roll-is-dead|204|1
lenny-kravitz-and-slash--always-on-the-run||0
lily-allen--take-what-you-take|246|1
limozeen--because-its-midnite|136|1
linkin-park--bleed-it-out|165|1
linkin-park--wastelands|196|1
linkin-park--what-ive-done|208|1
lions--metal-heavy-lady|167|1
living-colour--cult-of-personality|297|1
los-lobos--la-bamba|174|1
lostprophets--rooftops-a-liberation-broadcast|249|1
love-and-rockets--mirror-people|248|1
lynyrd-skynyrd--call-me-the-breeze|310|1
lynyrd-skynyrd--free-bird|549|1
lynyrd-skynyrd--sweet-home-alabama|284|1
lynyrd-skynyrd--tuesdays-gone|450|1
machine-head--beautiful-mourning|286|1
made-in-mexico--farewell-myth|257|1
made-in-mexico--yes-we-can|251|1
maroon-5--she-will-be-loved|257|1
marvin-gaye--i-heard-it-through-the-grapevine|194|1
mastodon--blood-and-thunder|228|1
matchbook-romance--monsters|243|1
matthew-sweet--girlfriend|220|1
mc5--kick-out-the-jams|172|1
megadeth--hangar-18|312|1
