# id | afinação (vazio = desconhecida) | confiança (1 confirmada, 0 a confirmar) | instrumentação (v g b d k p s c h j; vazio = desconhecida) | observação
38-special--hold-on-loosely|E|1|vggbd|
3-doors-down--kryptonite|E|1|vggbd|
3-doors-down--when-im-gone|E|0|vggbd|
311--beautiful-disaster|dropD|0|vvgbdj|
a-flock-of-seagulls--i-ran-so-far-away|E|1|vgbdk|
a-perfect-circle--judith|dropD|0|vggbd|
a-perfect-circle--the-outsider|dropD|0|vggbd|
accept--balls-to-the-wall|E|0|vggbd|
aerosmith--back-in-the-saddle|E|0|vggbd|Joe Perry usou baixo de 6 cordas no riff.
aerosmith--beyond-beautiful|E|0|vggbd|
aerosmith--bright-light-fright|E|0|vggbd|
aerosmith--combination|E|0|vggbd|
aerosmith--cryin|E|0|vggbdh|
aerosmith--draw-the-line|openA|0|vggbd|Slide de Joe Perry.
aerosmith--dream-on|E|0|vggbdk|
aerosmith--kings-and-queens|E|0|vggbdk|
aerosmith--last-child|E|0|vggbd|
aerosmith--let-the-music-do-the-talking|E|0|vggbd|
aerosmith--livin-on-the-edge|E|0|vggbd|
aerosmith--love-in-an-elevator|E|0|vggbds|
aerosmith--make-it|E|0|vggbd|
aerosmith--mama-kin|E|0|vggbds|
aerosmith--movin-out|E|0|vggbd|
aerosmith--no-surprize|E|0|vggbd|
aerosmith--nobodys-fault|E|0|vggbd|
aerosmith--pandoras-box|E|0|vggbd|
aerosmith--pink|E|0|vggbdh|
aerosmith--rag-doll|E|0|vggbds|
aerosmith--rats-in-the-cellar|E|0|vggbdh|
aerosmith--same-old-song-and-dance|E|0|vggbds|
aerosmith--sweet-emotion|E|0|vggbd|
aerosmith--toys-in-the-attic|E|0|vggbd|
aerosmith--train-kept-a-rollin|E|0|vggbd|
aerosmith--uncle-salty|E|0|vggbd|
aerosmith--walk-this-way|E|1|vggbd|
aerosmith-featuring-run-dmc--walk-this-way|E|0|vvvgbdj|
afi--dancing-through-sunday|E|0|vgbd|
afi--medicate|E|0|vgbd|
afi--miss-murder|E|0|vgbd|
airbourne--too-much-too-young-too-fast|E|1|vggbd|
alice-cooper--billion-dollar-babies|E|0|vggbd|
alice-cooper--no-more-mr-nice-guy|E|0|vggbd|
alice-cooper--schools-out|E|1|vggbd|
alice-in-chains--no-excuses|Eb|1|vvgbd|
alice-in-chains--them-bones|dropC#|1|vvgbd|
all-that-remains--six|dropC|0|vggbd|
alphabeat--fascination|E|0|vvgbdk|
alter-bridge--come-to-life|dropD|0|vggbd|
alter-bridge--ties-that-bind|dropD|0|vggbd|
aly-and-aj--like-whoa|E|0|vvgbdk|
an-endless-sporadic--impulse||0||
anarchy-club--behind-the-mask||0||
anarchy-club--collide||0||
anberlin--the-feel-good-drag|E|0|vggbd|
angels-and-airwaves--the-adventure|E|0|vggbdk|
anouk--good-god|E|0|vggbd|
anthrax--caught-in-a-mosh|E|1|vggbd|
anthrax--indians|E|1|vggbd|
anthrax--madhouse|E|1|vggbd|
arch-enemy--nemesis|C|0|vggbd|
arctic-monkeys--brianstorm|E|0|vggbd|
arctic-monkeys--r-u-mine|E|0|vggbd|
artillery--the-breaking-wheel||0||
asia--heat-of-the-moment|E|1|vgbdk|
at-the-drive-in--one-armed-scissor|E|0|vggbd|
atreyu--ravenous|dropC|0|vvggbd|
attack-attack--you-and-me|dropC|0|vvggbdk|
audioslave--cochise|dropD|0|vgbd|
avenged-sevenfold--bat-country|Eb|1|vggbd|
avenged-sevenfold--beast-and-the-harlot|Eb|1|vggbd|
avril-lavigne--heres-to-never-growing-up|E|0|vggbd|
backyard-babies--minus-celsius|E|0|vggbd|
bad-brains--re-ignition|E|0|vgbd|
bad-religion--infected|E|0|vggbd|
band-of-horses--cigarettes-wedding-bands|E|0|vggbd|
band-of-skulls--i-know-what-i-am|E|0|vvgbd|
bang-camaro--push-push-lady-lightning|E|0|vggbd|Coro com muitas vozes.
beastie-boys--gratitude|E|0|vvvgbd|
beastie-boys--sabotage|E|0|vvvgbdj|
beastie-boys-featuring-kerry-king--no-sleep-till-brooklyn|E|0|vvvggbd|
beatsteaks--hail-to-the-freaks|E|0|vggbd|
beck--gamma-ray|E|0|vggbdk|
ben-harper-and-the-innocent-criminals--steal-my-kisses|E|0|vgbdp|
biffy-clyro--victory-over-the-sun|E|0|vgbdc|
big-country--in-a-big-country|E|0|vggbd|
billy-idol--dancing-with-myself|E|1|vgbd|
billy-idol--rebel-yell|E|1|vgbdk|
billy-idol--white-wedding-part-1|E|1|vgbd|
billy-squier--lonely-is-the-night|E|0|vggbd|
black-label-society--fire-it-up|D|0|vgbd|
black-label-society--stillborn|D|0|vgbd|
black-rebel-motorcycle-club--weapon-of-choice|E|0|vgbd|
black-sabbath--children-of-the-grave|C#|1|vgbd|
black-sabbath--iron-man|E|1|vgbd|
black-sabbath--paranoid|E|1|vgbd|
black-sabbath--war-pigs|E|1|vgbd|
blind-melon--tones-of-home|E|0|vggbd|
blink-182--dammit|E|0|vvgbd|
blink-182--first-date|E|0|vvgbd|
blink-182--the-rock-show|E|0|vvgbd|
bloc-party--helicopter|E|0|vggbd|
blondie--one-way-or-another|E|1|vggbdk|
blue-oyster-cult--burnin-for-you|E|1|vggbdk|
blue-oyster-cult--cities-on-flame-with-rock-and-roll|E|0|vggbd|
blue-oyster-cult--godzilla|E|1|vggbd|
blur--song-2|E|0|vgbd|
bob-dylan--all-along-the-watchtower|E|0|vgbdh|Violão, baixo, bateria e gaita.
bob-seger-and-the-silver-bullet-band--hollywood-nights|E|0|vggbdk|
bob-seger-and-the-silver-bullet-band--turn-the-page|E|0|vgbdks|
bon-jovi--livin-on-a-prayer|E|1|vgbdk|Talk box na guitarra.
bon-jovi--you-give-love-a-bad-name|E|1|vgbdk|
boston--more-than-a-feeling|E|1|vggbdk|
brand-new--sowing-season-yeah|E|0|vggbd|
bret-michaels-band--go-that-far|E|0|vggbd|
brian-kahanek--gemini||0|gbd|Instrumental.
bring-me-the-horizon--shadow-moses|dropB|0|vggbdk|
buckethead--jordan|E|0|gbd|Instrumental.
bullet-for-my-valentine--scream-aim-fire|dropC|0|vvggbd|
burning-brides--heart-full-of-black|E|0|vgbd|
bush--comedown|E|0|vggbd|
bush--machinehead|dropD|0|vggbd|
buzzcocks--what-do-i-get|E|0|vggbd|
carl-douglas--kung-fu-fighting|E|0|vgbdkc|
cheap-trick--dream-police|E|1|vggbdc|
cheap-trick--i-want-you-to-want-me|E|1|vggbd|
cheap-trick--surrender|E|1|vggbdk|
children-of-bodom--done-with-everything-die-for-nothing|B|0|vggbdk|
children-of-bodom--if-you-want-peace-prepare-for-war|C#|0|vggbdk|
cold-war-kids--hang-me-up-to-dry|E|0|vgbdk|
coldplay--in-my-place|E|0|vgbdk|
coldplay--shiver|E|0|vgbdk|
corinne-bailey-rae--put-your-records-on|E|0|vgbdk|
corrosion-of-conformity--albatross|E|0|vggbd|
count-zero--radium-eyes||0||
count-zero--sail-your-ship-by||0||
counting-crows--angels-of-the-silences|E|0|vggbdk|
cream--crossroads|E|1|vgbd|
cream--sunshine-of-your-love|E|0|vgbd|
creedence-clearwater-revival--fortunate-son|E|0|vggbd|
creedence-clearwater-revival--up-around-the-bend|E|0|vggbd|
culture-club--do-you-really-want-to-hurt-me|E|0|vgbdk|
danzig--mother|E|0|vgbd|
darker-my-love--blue-day|E|0|vggbd|
darkest-hour--demon-s|dropC|0|vggbd|
dashboard-confessional--hands-down|E|0|vggbd|
david-bowie--fame|E|0|vggbd|
david-bowie--lets-dance|E|0|vgbdks|
david-bowie--ziggy-stardust|E|1|vgbd|
dead-kennedys--holiday-in-cambodia|E|0|vgbd|
dead-kennedys--police-truck|E|0|vgbd|
deap-vally--lies|E|0|vgd|Dupla sem baixo.
deep-purple--burn|E|1|vvgbdk|
deep-purple--hush|E|0|vgbdk|
deep-purple--smoke-on-the-water|E|1|vgbdk|
deep-purple--space-truckin|E|1|vgbdk|
deep-purple--woman-from-tokyo|E|1|vgbdk|
def-leppard--pour-some-sugar-on-me|E|0|vggbd|
dethklok--bloodlines|C|0|vggbd|
dethklok--thunderhorse|C|0|vggbd|
devo--whip-it|E|1|vgbdk|
diamond-head--am-i-evil|E|1|vgbd|
dick-dale--misirlou|E|0|gbd|Instrumental.
die-toten-hosen--hier-kommt-alex|E|0|vggbd|
din--fly-on-the-wall||0||
dinosaur-jr--feel-the-pain|E|0|vgbd|
dio--holy-diver|E|0|vgbdk|
dire-straits--money-for-nothing|E|1|vggbdk|
dire-straits--sultans-of-swing|E|1|vggbd|
disturbed--stricken|dropC#|0|vgbd|
don-mclean--american-pie|E|0|vgbdk|
dope--nothing-for-me-here|dropC|0|vggbd|
dragonforce--fury-of-the-storm|E|0|vggbdk|
dragonforce--through-the-fire-and-flames|E|1|vggbdk|
dream-theater--pull-me-under|E|0|vgbdk|
drist--arterial-black||0||
drist--decontrol||0||
drowning-pool--bodies|dropC|0|vgbd|
duffy--warwick-avenue|E|0|vgbdkc|
