# id | afinação | confiança | instrumentação | observação
in-flames--take-this-life|C|0|vggbdk|
incubus--stellar|E|0|vgbdj|
interpol--obstacle-1|E|0|vggbd|
interpol--slow-hands|E|0|vggbdk|
iron-maiden--2-minutes-to-midnight|E|1|vggbd|
iron-maiden--the-number-of-the-beast|E|1|vggbd|
iron-maiden--the-trooper|E|1|vggbd|
iron-maiden--wrathchild|E|1|vggbd|
jack-white--lazaretto|E|0|vgbdkc|
janes-addiction--been-caught-stealing|E|0|vgbd|
janes-addiction--mountain-song|E|0|vgbd|
janes-addiction--stop|E|0|vgbd|
janet-jackson--black-cat|E|0|vgbd|
jeff-beck--scatterbrain|E|1|gbdk|Instrumental.
jesse-mccartney--beautiful-soul|E|0|vgbdk|
jethro-tull--aqualung|E|0|vgbdk|
jimmy-eat-world--bleed-american|E|0|vggbd|
jimmy-eat-world--pain|E|0|vggbd|
jimmy-eat-world--the-middle|E|0|vggbd|
joan-jett--bad-reputation|E|1|vggbd|
joan-jett--i-hate-myself-for-loving-you|E|0|vggbd|
joan-jett-and-the-blackhearts--i-love-rock-n-roll|E|1|vggbd|
joe-perry--mercy|E|0|vgbd|
joe-perry--shakin-my-cage|E|0|vgbd|
joe-perry--talk-talkin|E|0|vgbd|
joe-satriani--satch-boogie|E|1|gbd|Instrumental.
john-5-featuring-jim-root--black-widow-of-la-porte||0|ggbd|Instrumental.
john-mellencamp--hurts-so-good|E|0|vggbd|
johnny-cash--ring-of-fire|E|0|vgbds|Trompetes mariachi.
joss-stone--you-had-me|E|0|vgbdks|
judas-priest--electric-eye|E|0|vggbd|
judas-priest--hell-bent-for-leather|E|0|vggbd|
judas-priest--painkiller|E|0|vggbd|
judas-priest--youve-got-another-thing-comin|E|1|vggbd|
kaiser-chiefs--never-miss-a-beat|E|0|vgbdk|
kaiser-chiefs--ruby|E|1|vgbdk|
kansas--carry-on-wayward-son|E|1|vggbdk|
kasabian--club-foot|E|0|vgbdk|
katrina-and-the-waves--walking-on-sunshine|E|0|vgbdks|
katy-perry--waking-up-in-vegas|E|0|vgbdk|
kent--vinternoll2|E|0|vggbdk|
killswitch-engage--my-curse|dropC|0|vggbd|
killswitch-engage--the-end-of-heartache|dropC|0|vggbd|
king-crimson--21st-century-schizoid-man|E|0|vgbds|
kings-of-leon--sex-on-fire|E|0|vggbd|
kiss--love-gun|E|0|vggbd|
kiss--rock-and-roll-all-nite|E|1|vvggbd|
kiss--shout-it-out-loud|E|0|vvggbd|
kiss--strutter|E|0|vggbd|
korn--freak-on-a-leash|7A|1|vggbd|Guitarras de 7 cordas.
krokus--ballroom-blitz|E|0|vggbd|
kt-tunstall--black-horse-and-the-cherry-tree|E|0|vgbdp|
kyuss--demon-cleaner|C|0|vgbd|
la-slum-lords--down-n-dirty||0||
lacuna-coil--closer|dropC|0|vvggbdk|
lacuna-coil--our-truth|dropC|0|vvggbdk|
lamb-of-god--laid-to-rest|dropD|1|vggbd|
lenny-kravitz--are-you-gonna-go-my-way|E|0|vgbd|
lenny-kravitz--rock-and-roll-is-dead|E|0|vgbd|
lenny-kravitz-and-slash--always-on-the-run|E|0|vggbds|
lily-allen--take-what-you-take|E|0|vgbdk|
limozeen--because-its-midnite|E|0|vggbdk|
linkin-park--bleed-it-out|dropD|0|vvgbdj|
linkin-park--wastelands|E|0|vvgbdj|
linkin-park--what-ive-done|E|0|vvgbdkj|
lions--metal-heavy-lady||0||
living-colour--cult-of-personality|E|0|vgbd|
los-lobos--la-bamba|E|0|vgbd|
lostprophets--rooftops-a-liberation-broadcast|dropD|0|vggbd|
love-and-rockets--mirror-people|E|0|vgbd|
lynyrd-skynyrd--call-me-the-breeze|E|0|vgggbdk|
lynyrd-skynyrd--free-bird|E|1|vgggbdk|Três guitarras e piano.
lynyrd-skynyrd--sweet-home-alabama|E|1|vgggbdk|
lynyrd-skynyrd--tuesdays-gone|E|0|vgggbdk|
machine-head--beautiful-mourning|dropB|0|vggbd|
made-in-mexico--farewell-myth||0||
made-in-mexico--yes-we-can||0||
maroon-5--she-will-be-loved|E|0|vggbdk|
marvin-gaye--i-heard-it-through-the-grapevine|E|0|vgbdkc|
mastodon--blood-and-thunder|D|0|vvggbd|
matchbook-romance--monsters|dropD|0|vggbd|
matthew-sweet--girlfriend|E|0|vggbd|
mc5--kick-out-the-jams|E|0|vggbd|
