# id | afinação | confiança | instrumentação | observação
rush--2112-pt-6-soliloquy|E|1|vgbd|
rush--2112-pt-7-grand-finale|E|1|vgbd|
rush--the-spirit-of-radio|E|1|vgbdk|
rush--yyz|E|1|gbd|Instrumental.
rx-bandits--its-only-another-parsec|E|0|vggbdk|
samhain--mother-of-mercy|E|0|vgbd|
santana--black-magic-woman|E|1|vgbdkp|
santana--no-one-to-depend-on|E|0|vggbdkp|
santigold--les-artistes|E|0|vgbdk|
scandal--the-warrior|E|0|vggbdk|
scars-on-broadway--they-say|dropC|0|vggbd|
scorpions--no-one-like-you|E|1|vggbd|
scorpions--rock-you-like-a-hurricane|E|1|vggbd|
scouts-of-st-sebastian--in-love||0||
screaming-trees--nearly-lost-you|E|0|vgbd|
senses-fail--cant-be-saved|dropC|0|vggbd|
sex-pistols--anarchy-in-the-uk|E|1|vgbd|
sex-pistols--pretty-vacant|E|1|vgbd|
shadows-fall--the-light-that-blinds|dropC|0|vggbd|
shaimus--all-of-this||0||
silversun-pickups--lazy-eye|E|0|vgbdk|
silversun-pickups--theres-no-secrets-this-year|E|0|vgbdk|
skid-row--18-and-life|Eb|1|vggbd|
skrillex--bangarang-ft-sirah||0|vdkj|Música eletrônica: no jogo a guitarra toca as linhas de sintetizador.
slash-featuring-ian-astbury--ghost|Eb|0|vggbd|
slayer--chemical-warfare|Eb|1|vggbd|
slayer--raining-blood|Eb|1|vggbd|
slayer--war-ensemble|Eb|1|vggbd|
slipknot--before-i-forget|dropB|0|vggbdpj|
slipknot--psychosocial|dropB|0|vggbdpj|
snot--deadfall|dropC|0|vggbd|
snow-patrol--take-back-the-city|E|0|vggbdk|
social-distortion--mommys-little-monster|E|0|vggbd|
social-distortion--story-of-my-life|E|0|vggbd|
sonic-youth--incinerate||0|vggbd|Sonic Youth usa afinações alternativas.
sonic-youth--kool-thing||0|vvggbd|Sonic Youth usa afinações alternativas.
soundgarden--been-away-too-long|E|0|vggbd|
soundgarden--black-rain|dropD|0|vggbd|
spacehog--in-the-meantime|E|0|vggbdk|
spice-girls--wannabe|E|0|vvvgbdk|
spinal-tap--tonight-im-gonna-rock-you-tonight|E|0|vvggbd|
steely-dan--do-it-again|E|0|vgbdkp|
steve-miller-band--the-joker|E|1|vggbdk|
steve-vai--speeding-vault-version|E|0|gbd|Instrumental.
stevie-ray-vaughan--pride-and-joy|Eb|1|vgbd|
stevie-ray-vaughan--texas-flood|Eb|1|vgbd|
stevie-wonder--superstition|E|0|vbdks|O riff original é de clavinete.
sting--demolition-man|E|0|vgbdks|
stone-temple-pilots--interstate-love-song|E|0|vgbd|
stone-temple-pilots--sex-type-thing|dropD|0|vgbd|
stone-temple-pilots--trippin-on-a-hole-in-a-paper-heart|E|0|vgbd|
stray-cats--rock-this-town|E|1|vgbd|Contrabaixo acústico e bateria reduzida.
strong-bad--trogdor|E|0|vgbd|
strung-out--calling|E|0|vggbd|
stuck-in-the-sound--toy-boy|E|0|vggbd|
styx--mr-roboto|E|0|vggbdk|
styx--renegade|E|1|vggbdk|
sublime--santeria|E|1|vgbd|
sublime--what-i-got|E|0|vgbdj|
suicidal-tendencies--institutionalized|E|0|vggbd|
suicidal-tendencies--war-inside-my-head|E|0|vggbd|
sum-41--fat-lip|E|0|vggbd|
sum-41--motivation|E|0|vggbd|
sunny-day-real-estate--seven||0|vggbd|
superbus--radio-song|E|0|vggbd|
survivor--eye-of-the-tiger|E|1|vggbdk|
system-of-a-down--byob|dropC|1|vvgbd|
